frag_ID,,Locus,attivita,ware,fragment_type,weight_g,surface_area,diameter,perc_preserved,rim_length,rim_height,height_of_preserved_wall,basefloorlength,lengthpreserved.lid,angle_f_rim,angle_of_body,open_closed,main_angle_up,secondary_base_angle,upper_thickness,central_thickness,lowerthickness,surface_treat,macro_fabric,SAS_notes,morphology_notes,edges,chip,chip_length,calcium_crust,perc_calc_int,perc_calc_ext,stains,abras_base_int,abras_wall_int,abras_rim_int,abras_base_ext,abras_wall_ext,abras_rim_ext,location_of_abrasion,direction_scratches_ext,scratch_dir_ext_num,concentric_scr_ext,chordal_scr_ext,radial_scr_ext,criss_cross_e,surface_area_abrasion_e,direction_scratches_int,scratch_dir_int_num,concentric_scr_int,chordal_scr_int,radial_scr_int,criss_cross_i,surface_area_abrasion_i,microscopic_image,blackening_int,BL_int_1,BL_int_2,BL_int_3,BL_int_4,BL_int_5,BL_int_6,BL_int_7,BL_int_8,BL_int_9,BL_int_10,BL_int_11,BL_int_22,blackening_location_int,blackening_ext,BL_ext_1,BL_ext_2,BL_ext_3,BL_ext_4,BL_ext_5,BL_ext_6,BL_ext_7,BL_ext_8,BL_ext_9,BL_ext_10,BL_ext_11,BL_ext_22,blackening_location_ext,bottom_base,alteration_notes,frag_type_num,ware_num,filter_MusarnaRIM_WHOLE,site_num,filter_LARGERVESSELS_percpres,PrimaryLast,filter_Musarna_cookware_rims,filter_$,Rdiamete,Ndiamete,dup_diam_CW,RAN001,NTI001,julie_period,nov19.3pm_period,cistern,ocu_num,funct_type,RAN002,NTI002,black_tot,black_tot_int,black_tot_ext,both_fours,abras_tot_int,abras_tot_ext,R_olladiam,N_olladiam,R_ollaangle,N_ollarimangle,Rangle_f,Nangle_f,RAN003,NTI003,cookware_base_groups,int_cookware_black5,RAN004,NTI004,PERIOD_old,PERIOD,period_pop_jan22,collapsed_periods
120,Populonia,4695,79,commonware,rim,22,36,13,18,7.0,7.0,,,,60,55,c,,,4.23,3.85,5.40,none,fine black specks; fine pores,look,,1,lip,2,Y,70,90,nv,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,too much very thin calcium crust to see other alterations; chip on the rim very worn unlike the breaks of the sherd; probably not postdep,10,8,0,3,1,0,0,0,,,13.00,,,7,7,,2,2,,,0,0,0,,0.00,0.00,,,,,,,,,,,,,7,7,8,
121,Populonia,4695,79,commonware,rim,21,36,15,15,7.0,8.0,,,,50,70,c,,,4.39,4.07,5.32,none,"very fine black specks, very fine pores",,,1,,,Y,5,2,none,0,0,1,0,0,0,rim_int,chordal,3,0,1,0,,,,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,scratch MAY be pre-firing,10,8,0,3,1,0,0,0,,,15.00,,,7,7,,2,2,,,0,0,0,,1.00,0.00,,,,,,,,,,,,,7,7,8,
122,Populonia,4695,79,commonware,rim,5,9,15,7,3.5,3.0,,,,55,90,o,,,4.09,,3.56,none,"fine black and white specks, veri fine pores",,,1,,,Y,40,20,nv,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,ext calcium just on lip,10,8,0,3,1,0,0,0,,,15.00,,,7,7,,3,2,,,0,0,0,,0.00,0.00,,,,,,,,,,,,,7,7,8,
123,Populonia,4695,79,commonware,rim,17,9,16,6,3.5,3.0,,,,60,,o,,,9.60,,7.74,none,"large black specks, porous",,,2,,,N,,,,0,0,1,0,1,0,"rim_int
wall_ext",patch,4,0,0,0,,9.00,patch,4,0,0,0,,9.00,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,surface abrasion likely a result of postdep; takes up most of the surface,10,8,0,3,1,0,0,0,,,16.00,,,7,7,,1,8,,,0,0,0,,1.00,1.00,,,,,,,,,,,,,7,7,8,
124,Populonia,4695,79,commonware,rim,11,16,14,11,5.0,3.0,,,,45,80,o,,,4.99,,5.04,none,"fine black specks, larger grains of white; porous",,,1,int rim,1,N,,,none,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,10,8,0,3,1,0,0,0,,,14.00,,,7,7,,2,2,,,0,0,0,,0.00,0.00,,,,,,,,,,,,,7,7,8,
125,Populonia,4695,79,commonware,base,34,36,3,100,,,2.0,3.0,,,,,120,,4.17,6.70,,none,"fine black specks, very fine pores, ocassional white grains","if this is the same on the one in the SAS, they think it weighs 28g and they have no comparanda",lower thickness not possible because it?s a whole base,1,,,Y,95,40,nv,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,5,8,0,3,0,0,0,0,,,3.00,,,7,7,,,,,,0,0,0,,0.00,0.00,,,,,,,,,,,,,7,7,8,
129,Populonia,4695,79,da fuoco,rim,5,4,,4,2.0,3.0,,,,45,,o,,,6.41,,4.74,,"very porous, fine black specks",,,2,,,N,,,covered in white film maybe calcium,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,10,14,0,3,0,0,0,0,,,,,,7,7,,3,,,,0,0,0,,0.00,0.00,,,,,,,,,,,,,7,7,8,
148,Populonia,4695,79,black gloss,base,13,16,6,35,,,2.0,1.0,,,,,150,,5.50,8.25,6.20,black gloss - fugitive,no inclusions,,,1,,,Y,0,20,,0,0,0,0,0,0,,patch,4,0,0,0,,1.00,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,base is worn along edge probably from use; generally slip is flaking off and seems to be of low quality,5,5,0,3,0,0,0,0,,,6.00,,,7,7,,,8,,,0,0,0,,0.00,0.00,,,,,,,,,,,,,7,7,8,
149,Populonia,4695,79,da fuoco,rim,44,36,19,12,7.5,4.5,,,,75,,o,,,9.44,,7.48,none,fine white particles and brown grains,,,1,int rim,0,Y,5,15,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,fabric and form looks like cookware; no signs of blackening; same pot as frag 150,10,14,0,3,1,0,0,0,,,19.00,,,7,7,,2,2,,,0,0,0,,0.00,0.00,,,,,,,,,,,,,7,7,8,
150,Populonia,4695,79,da fuoco,rim,42,25,21,10,8.0,4.5,,,,75,,o,,,8.72,,5.62,none,fien white and brown inclusions,,,1,int rim,1,Y,15,5,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,same pot as frag 149,10,14,0,3,1,0,0,0,,,21.00,,,7,7,,2,2,,,0,0,0,,0.00,0.00,,,,,,,,,,,,,7,7,8,
151,Populonia,4695,79,da fuoco,handle,108,36,,,5.0,3.0,,,,50,,o,,,25.00,,,,large white grains; fine brown inclusions,,horizontal handle with rim attached,1,,,Y,,10,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,6,14,0,3,0,1,0,0,,,,,,7,7,,1,,,,0,0,0,,0.00,0.00,,,,,,,,,,,,,7,7,8,
152,Populonia,4695,79,da fuoco,rim or lid,33,25,,4,3.0,6.0,,,,,,o,,,7.40,7.95,8.68,,white inclusions,,,1,,,Y,5,10,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,1,0,0,10,2,0,0,0,1,0,0,0,0,0,0,0,0,4.,0,,11,14,0,3,0,0,0,0,,,,,,7,7,,1,4,,,1,1,1,,0.00,0.00,,,,,,,,,,0,,,7,7,8,
154,Populonia,4695,79,da fuoco,base,45,25,9,14,,,3.0,3.0,,,,,125,,10.65,13.03,14.09,none,orange and white inclusions; poorly sorted,,,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,1,0,0,10,3,0,0,0,0,0,1,0,0,0,0,0,0,6.,1,,5,14,0,3,0,0,0,0,,,9.00,,,7,7,,,,,,1,1,1,,0.00,0.00,,,,,,,,,1,0,,,7,7,8,
155,Populonia,4695,79,da fuoco,rim,8,9,15,6,3.0,3.5,,,,60,55,c,,,5.90,,3.78,none,"large black grains, fine black particles, white specks; poorly sorted",,,1,,,N,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,5.,0,,10,14,0,3,1,0,0,0,,,15.00,,,7,7,,2,2,,,1,0,1,,0.00,0.00,,,,,,,,,,,,,7,7,8,
156,Populonia,4695,79,da fuoco,rim,20,16,13,15,3.5,4.5,,,,50,50,o,,,8.37,,6.34,,black grains,,,1,,,Y,0,5,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,1,0,0,10,4,0,0,0,0,0,0,0,0,0,1,0,0,10,0,,10,14,0,3,1,0,0,0,,,13.00,,,7,7,,2,2,,,1,1,1,,0.00,0.00,,,,,,,,,,0,,,7,7,8,
